1 8,1
10 1985,1
11 1985,1
11 to,1
114 proposals,1
12 31,1
15 21,1
16 mi,1
168 and,1
17 api,1
18 doe,1
1984 and,1
1984 authorizes,1
1984 code,1
1984 in,1
1985 cma,1
1985 iag,2
1985 national,1
1985 panel,1
1985 paper,1
1985 president,1
1985 product,1
1985 seminar,1
1985 the,2
1986 to,1
1986or early,1
1987 code,1
20 percent,1
20 the,1
200 million,1
2000 provide,1
21 1985,1
223 republicans,1
25 per,1
25 percent,2
258 to,1
27 28,2
28 meeting,2
28 the,1
300 million,2
31 85,1
36 percent,1
3838 differs,1
3838 in,1
3838 that,1
400 million,1
436 on,1
436a also,1
4th congressional,1
5 1985,1
5 7,1
58 of,1
600 million,2
68 comments,1
7 1986,1
7 year,1
8 billion,1
8 il,1
82 cents,1
86 3,1
9 1985,1
9140 billion,1
936 credit,2
a bilateral,1
a confidential,1
a defect,1
a higher,1
a june,1
a later,1
a letter,1
a limited,1
a majority,1
a new,3
a number,1
a position,2
a proposed,2
a public,1
a request,2
a result,1
a retreat,2
a rule,1
a schedule,1
a serious,1
a shift,1
a statement,1
a tax,1
a vote,1
ability rules,1
ability to,2
about duplication,1
access investment,1
achieved through,1
act s,1
act tta,1
act was,1
action by,1
action came,1
action on,2
action taken,1
actions taken,1
active trade,1
activities with,1
ad hoc,2
addition cma,1
addition to,1
additional offsetting,1
additional recapture,1
address president,1
address the,1
addressed mostly,1
addressing the,1
adequacy of,1
administration changes,1
administration s,1
administrator is,1
adopt a,1
adopt the,1
adopted by,1
adopted many,1
adoption as,1
adoption at,1
adoption of,2
advanced inspection,1
advantages of,1
adverse impact,1
advisory committee,1
advocate legislation,1
affairs group,1
after president,1
after the,1
against inadvertent,1
against u,1
agencies of,1
agenda and,1
agenda items,1
agreement which,1
all committee,1
all expenses,1
all old,1
all opportunities,1
allied business,1
allocated higher,1
allocation of,3
alone would,1
already been,1
already has,1
already sent,1
also commented,1
also indicates,1
also industrial,1
also objected,1
also recommended,1
also refused,1
also reservation,1
also restricts,1
also the,1
alternative to,1
although h,1
although this,1
american industry,1
american national,1
among all,1
among other,1
an agreement,1
an approved,1
an early,1
an economic,1
an international,1
an mtn,2
an on,1
and adverse,1
and arrangements,1
and assure,1
and authorization,1
and canada,1
and cma,1
and commerce,1
and community,1
and conservative,1
and controls,1
and costs,2
and costsharing,1
and design,1
and development,1
and developmental,1
and dispute,1
and economic,1
and emergency,1
and encourages,1
and end,2
and environment,1
and further,1
and hazards,2
and health,1
and industry,1
and information,1
and interruptible,1
and is,1
and market,1
and means,3
and of,1
and on,1
and operation,1
and or,1
and other,1
and overview,1
and passed,1
and petrochemical,1
and policy,1
and presented,1
and protection,1
and reasonable,1
and reliability,1
and response,3
and shipping,1
and standards,2
and storage,1
and studies,1
and submitted,1
and tariff,2
and technology,1
and that,1
and the,10
and third,1
and to,2
and traditional,1
and u,1
and ul,1
and unpredictable,1
and use,1
and vote,1
and would,1
andon provisions,1
animal testing,2
annaul meeting,1
announced at,1
annual cost,1
annual economic,1
anti industry,1
anticipated to,1
api ieee,1
appears that,1
application of,1
appropriate agencies,1
approved a,1
approved by,1
approved position,1
approximately 600,1
are doubtful,1
are permitted,1
are the,1
arrangements for,1
as 82,1
as a,1
as american,1
as financial,1
as it,1
as much,1
as studies,1
as the,1
as under,1
as well,1
as with,1
asked to,1
aspects of,1
aspects such,1
associates predicts,1
association trade,1
assumption that,1
assure a,1
at 20,1
at a,1
at its,2
at meetings,1
at the,3
at this,1
atlanta next,1
